,description_x,description_y,similarity
0,first trust dow jones internet,first trust dj internet idx,0.13265306122448978
1,schwab intl large company index etf,schwab strategic tr fundamental intl large co index etf,0.026333113890717574
2,vanguard small cap index adm,vanguard small-cap index fund inst,0.1673469387755102
3,duke energy corp new com new isin #us4 sedol #b7jzsk0,duke energy corp new com new isin #us26441c2044 sedol #b7jzs,0.13265306122448978
4,visa inc class a,visa inc.,0.19047619047619047
5,ford motor co new div: 0.600,ford motor co,0.08928571428571429
6,united states steel corp,united sts stl cp (new),0.11930926216640503
7,vanguard total international bond index etf,vanguard total intl bond index etf,0.1673469387755102
8,schwab strategic tr us sml c,schwab us small cap etf,0.06326530612244899
9,mfs value fd cl i,mfs value fund cl i,0.6530612244897959
10,oppenheimer dev markets class a,oppenheimer developing mkts fd cl a,0.08928571428571429
11,genomic health,genomic health inc com,0.19047619047619047
12,spdr barclays international etf,spdr barclays capital international trea,0.11930926216640503
13,kraft heinz company,kraft heinz co com,0.3061224489795918
14,vanguard total bond market index fund admiral shares,vanguard total bond market idx instl pls,0.0748299319727891
15,vanguard intermediate-term investment-grade fund investor shares,vanguard interm-term invmt-grade inv,0.03096410978184377
16,baidu inc spon adr,baidu inc spon adr rep a,0.2565597667638484
17,novartis ag- reg,novartis ag,0.3061224489795918
18,seaspan corp,seaspan corporation cmn,0.13265306122448978
19,vanguard total bond market index admiral,vanguard bond index total mkt investor,0.04244897959183674
20,mfs muni high income fd cl i,mfs municipal high cl i,0.09795918367346938
21,metlife inc com,metlife incorporated,0.19047619047619047
22,russell gbl real estate securities cl s,vy clarion real estate port srv,0.049689440993788817
23,vanguard short-term investment-grade fund admiral shares,vanguard short-term invest-grade,0.04244897959183674
24,spdr s&p 500 etf trust,spdr s&p 500 etf iv,0.3061224489795918
25,pimco total return a,fund: pimco total return admin,0.14842300556586271
26,intel corp,intel corporation,0.2193877551020408
27,vanguard 500 index fund - admiral class,vanguard 500 idx adm,0.06326530612244899
28,paypal holdings inc,paypal holdings inco,1.0
29,pim total rt inst,pimco total return fund - class r,0.06874328678839957
30,vanguard small cap,vanguard small cap etf (vb),0.1673469387755102
31,nike incorporated class b,nike inc-b,0.08163265306122448
32,vang inst index plus,vanguard institutional index fund institutional plus shares,0.01122448979591837
33,ishares tr nat amt free bd,ishares s&p national amt-free muni,0.10787172011661807
34,pimco total ret fd instl,pimco total return,0.19047619047619047
35,diageo plc fadr 1 adr reps 4 ord shs,diageo plc sponsored adr,0.05380333951762523
36,zoes kitchen inc com,zoes kitchen inc com isin #us7 sedol #bl95n36,0.0392464678178964
37,du pont ei de nemour,du pont e.i. de nemours,0.4795918367346939
38,vanguard info tech etf div: 2.776,vanguard information technolo etf iv,0.06326530612244899
39,ishares core msci ttl int stk,ishares trust core msci total intl stk etf,0.10787172011661807
40,ishares msci em mkt min vol,ishares inc msci emrg mkts min volatility etf,0.06874328678839957
41,ambarella inc,ambarella inc shs,0.3755102040816327
42,blackrock eqty dividend fd inv cl a,blackrock equity dividend fd a,0.1673469387755102
43,alibaba grp sp adr (cayman islands),alibaba group hldg ltd sponsored ads,0.05380333951762523
44,fidelity spartan 500 index advtg,spartan 500 index fd advantage class,0.049689440993788817
45,vanguard midcap index - a,vanguard mid capitalization index fund,0.08163265306122448
46,powershares qqq trust sr 1 etf,powershares qqq tr div: 1.105,0.14842300556586271
47,vanguard short term invt grade admiral,vang st invstgrd inv,0.049689440993788817
48,blackrock us mortgage port cl a,blackrock fds incm ptf inv c,0.0748299319727891
49,prudential jennison natural resources z,pru/j nat resrcs z,0.049689440993788817
50,united sts gasoline fd lp etf,united states gasoline etf,0.1673469387755102
51,vanguard crsp us small cap ind ex,vanguard index fds vanguard small cap vipers formerly vangua,0.017006802721088433
52,amcap cl a,amcap fund cl a,0.3061224489795918
53,templeton global macro group advisor cl,tmpl global bond adv,0.049689440993788817
54,kinder morgan inc del com,kinder morgan inc. del,0.3061224489795918
55,vang intm treas adm,vanguard intermediate-term treasury inv,0.04591836734693877
56,templeton global bond fund cl a,templeton global bond r,0.1673469387755102
57,vanguard total international stock index fund institutional shares,vanguard total international stock index fund institutional,0.2193877551020408
58,vereit inc com,vereit inc reit,0.3755102040816327
59,metropolitan west total return bond m,metropolitan west fds total ret cl i,0.11930926216640503
60,chicago bridge &iron fadr 1 adr reps ord shs,chicago bridge & iron company n v,0.05380333951762523
61,vanguard total bond market index-admiral,vanguard total bond market index fund investor shares,0.0748299319727891
62,spdr barclays capital international trea,spdr barclays capital international treasury bond etf,0.10787172011661807
63,chemours co com,chemours co,0.3755102040816327
64,intercontinental exchange inc cmn,intercontinental exchange inc com usd0.01,0.1673469387755102
65,fid large cap stock,fidelity large cap stock,0.3061224489795918
66,simon ppty grp inc,simon ppty group inc new com,0.14842300556586271
67,t rowe price real estate,real estate fund,0.06874328678839957
68,sturm ruger & co inc com,sturm ruger &co inc com isin #us8641591081 sedol #2856289,0.017006802721088433
69,ishares msci eafe small-cap etf,ishares tr msci small cap,0.10787172011661807
70,bp plc f adr 1 adr reps 6 ord shs,bpplc adr (sponsored),0.058309037900874626
71,vanguard short-term investment-grade fund admiral shares,vanguard shrt trm invmnt grd-inv,0.02857142857142857
72,ishares national amt-free muni bnd etf,ishares tr natl mun bd etf fd,0.06874328678839957
73,t rowe price new horizons,t rowe price new horizons fund,0.3061224489795918
74,spdr barclays short term high etf,spdr series trust short term h igh yield bond etf,0.049689440993788817
75,linkedin corp cl a,linkedin corp com usd0.0001,0.13265306122448978
76,spdr s&p 600 small cap growth div: 2.329,spdr ser tr s&p 600 small cap growth etf,0.0748299319727891
77,oppenheimer international bond fund a,oppenheimer international bond fund,0.6530612244897959
78,vanguard growth etf iv,vanguard index fds vanguard growth etf,0.049689440993788817
79,nike inc class b,nike incorporated class b,0.1673469387755102
80,ishares inc core msci emerging mkts etf,harding loevner emerging markets adv cl,0.049689440993788817
81,aqr managed futures strategy r6,aqr mgd futures strat fd cl i,0.13265306122448978
82,ishares national muni bond etf,ishares nationl amt freemuni etf,0.13265306122448978
83,merck & co inc new,merck and co inc shs,0.2565597667638484
84,templeton global bond fund advisor class shares,tmpl global bond r6,0.02857142857142857
85,ambarella inc shs,ambarella inc,0.3755102040816327
86,atwood oceanics inc.,atwood oceanics inc com isin #us4 sedol #2062440,0.02857142857142857
87,"energy transfer partners, l.p. cmn",cheniere energy partners lp com,0.0748299319727891
88,syngenta ag f adr 1 adr reps 0.2 ord shs,syngenta ag adr,0.0392464678178964
89,teva pharmactcl inds adr,teva pharmaceuticals ind ltd israel adr,0.08928571428571429
90,smucker j m company sjm,j m smucker co,0.0748299319727891
91,oppenheimer developing markets y,oppenheimer dev markets fd class y,0.08928571428571429
92,chevron corp.,chevron corp new,0.3755102040816327
93,unitedhealth group incorporated,unitedhealth group inc com,0.19047619047619047
94,vanguard 500 index fund admira l,vang 500 index adm,0.09795918367346938
95,ishares s&p u.s. pfd stock index,ishares tr u.s. pfd stk etf,0.14842300556586271
96,dfa u s targeted value cl i,dfa us targeted value port instl,0.1673469387755102
97,ampco pittsburgh corp,ampco-pittsburgh corp com,0.3061224489795918
